Start Training ...................................

          Initializing TSN with base model: resnet18.
          TSN Configurations:
              input_modality:     RGB
              num_segments:       3
              new_length:         1
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=512, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 0 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 20 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 1 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [1][280/299], lr: 0.00100	Time 0.318 (0.346)	Data 0.000 (0.023)	Loss 1.3442 (1.7163)	Acc@1 50.000 (53.392)	Acc@5 84.375 (82.496)
Epoch: [2][0/299], lr: 0.00100	Time 4.944 (4.944)	Data 4.544 (4.544)	Loss 1.3311 (1.3311)	Acc@1 59.375 (59.375)	Acc@5 87.500 (87.500)
Epoch: [2][20/299], lr: 0.00100	Time 0.306 (0.562)	Data 0.000 (0.217)	Loss 1.5135 (1.4876)	Acc@1 53.125 (57.887)	Acc@5 87.500 (86.012)
Epoch: [2][40/299], lr: 0.00100	Time 0.307 (0.437)	Data 0.000 (0.111)	Loss 1.0028 (1.3809)	Acc@1 56.250 (60.137)	Acc@5 100.000 (87.652)
Epoch: [2][60/299], lr: 0.00100	Time 0.308 (0.394)	Data 0.000 (0.075)	Loss 1.3942 (1.3940)	Acc@1 68.750 (59.990)	Acc@5 87.500 (87.756)
Epoch: [2][80/299], lr: 0.00100	Time 0.305 (0.375)	Data 0.000 (0.056)	Loss 1.4922 (1.3947)	Acc@1 53.125 (60.340)	Acc@5 90.625 (88.079)
Epoch: [2][100/299], lr: 0.00100	Time 0.308 (0.361)	Data 0.000 (0.045)	Loss 0.6711 (1.3915)	Acc@1 81.250 (60.427)	Acc@5 96.875 (88.274)
Epoch: [2][120/299], lr: 0.00100	Time 0.309 (0.353)	Data 0.000 (0.038)	Loss 1.7049 (1.3918)	Acc@1 59.375 (60.899)	Acc@5 84.375 (88.068)
Epoch: [2][140/299], lr: 0.00100	Time 0.309 (0.350)	Data 0.000 (0.032)	Loss 1.6792 (1.4015)	Acc@1 59.375 (60.705)	Acc@5 90.625 (88.121)
Epoch: [2][160/299], lr: 0.00100	Time 0.308 (0.345)	Data 0.000 (0.028)	Loss 1.8204 (1.3923)	Acc@1 43.750 (60.850)	Acc@5 87.500 (88.179)
Epoch: [2][180/299], lr: 0.00100	Time 0.302 (0.349)	Data 0.000 (0.025)	Loss 1.1089 (1.3806)	Acc@1 65.625 (61.153)	Acc@5 90.625 (88.208)
Epoch: [2][200/299], lr: 0.00100	Time 0.305 (0.345)	Data 0.000 (0.023)	Loss 1.6231 (1.3786)	Acc@1 59.375 (61.210)	Acc@5 81.250 (88.184)
Epoch: [2][220/299], lr: 0.00100	Time 0.304 (0.342)	Data 0.000 (0.021)	Loss 1.3859 (1.3658)	Acc@1 65.625 (61.510)	Acc@5 81.250 (88.504)
