/var/spool/slurmd/job00154/slurm_script: /usr/share/lmod/lmod/libexec/lmod: No such file or directory
Start Training ...................................

          Initializing TSN with base model: BNInception.
          TSN Configurations:
              input_modality:     RGBDiff
              num_segments:       7
              new_length:         5
              consensus_module:   avg
              dropout_ratio:      0.8
               
Load and modify the standard model FC output layer
Dropout Layer added and The modified linear layer is : Linear(in_features=1024, out_features=101, bias=True)
Done. Loading and Modifying 
 ---------------------------------------------------
Converting the ImageNet model to RGBDiff model
The modified 1st layer is Conv2d(15, 64, kernel_size=(7, 7), stride=(2, 2), padding=(3, 3))
Done. RGBDiff model is ready.
---------------------------------------------------
group: first_conv_weight has 1 params, lr_mult: 1, decay_mult: 1
group: first_conv_bias has 1 params, lr_mult: 2, decay_mult: 0
group: normal_weight has 69 params, lr_mult: 1, decay_mult: 1
group: normal_bias has 69 params, lr_mult: 2, decay_mult: 0
group: BN scale/shift has 2 params, lr_mult: 1, decay_mult: 0
---------------------------------------------------
Epoch: [2][80/150], lr: 0.00100	Time 26.621 (6.713)	Data 22.195 (2.957)	Loss 1.1931 (1.1528)	Acc@1 65.625 (67.168)	Acc@5 87.500 (91.242)
Epoch: [2][100/150], lr: 0.00100	Time 4.549 (6.551)	Data 0.000 (2.807)	Loss 0.9829 (1.1384)	Acc@1 76.562 (67.528)	Acc@5 96.875 (91.306)
Epoch: [2][120/150], lr: 0.00100	Time 22.595 (6.453)	Data 18.747 (2.706)	Loss 1.0365 (1.1153)	Acc@1 71.875 (68.143)	Acc@5 95.312 (91.568)
Epoch: [2][140/150], lr: 0.00100	Time 3.322 (6.303)	Data 0.000 (2.547)	Loss 0.8856 (1.1042)	Acc@1 78.125 (68.395)	Acc@5 93.750 (91.844)
Epoch: [3][0/150], lr: 0.00100	Time 56.044 (56.044)	Data 51.614 (51.614)	Loss 0.9192 (0.9192)	Acc@1 76.562 (76.562)	Acc@5 95.312 (95.312)
Epoch: [3][20/150], lr: 0.00100	Time 4.856 (7.515)	Data 0.015 (3.703)	Loss 0.7977 (0.9475)	Acc@1 84.375 (72.470)	Acc@5 93.750 (94.345)
Epoch: [3][40/150], lr: 0.00100	Time 12.745 (6.522)	Data 9.464 (2.745)	Loss 0.7459 (0.9316)	Acc@1 81.250 (73.095)	Acc@5 96.875 (94.131)
Epoch: [3][60/150], lr: 0.00100	Time 3.544 (6.127)	Data 0.000 (2.326)	Loss 0.7314 (0.9201)	Acc@1 71.875 (73.719)	Acc@5 96.875 (94.134)
Epoch: [3][80/150], lr: 0.00100	Time 24.025 (6.336)	Data 18.197 (2.537)	Loss 1.0750 (0.9060)	Acc@1 70.312 (74.209)	Acc@5 90.625 (94.155)
Epoch: [3][100/150], lr: 0.00100	Time 2.924 (6.148)	Data 0.003 (2.354)	Loss 0.6430 (0.8785)	Acc@1 76.562 (74.954)	Acc@5 96.875 (94.338)
Epoch: [3][120/150], lr: 0.00100	Time 17.070 (6.116)	Data 13.122 (2.324)	Loss 0.6284 (0.8673)	Acc@1 81.250 (75.220)	Acc@5 96.875 (94.434)
Epoch: [3][140/150], lr: 0.00100	Time 4.403 (6.080)	Data 0.000 (2.303)	Loss 0.6601 (0.8485)	Acc@1 82.812 (75.754)	Acc@5 95.312 (94.614)
Epoch: [4][0/150], lr: 0.00100	Time 56.994 (56.994)	Data 51.217 (51.217)	Loss 0.9878 (0.9878)	Acc@1 65.625 (65.625)	Acc@5 93.750 (93.750)
Epoch: [4][20/150], lr: 0.00100	Time 2.962 (7.729)	Data 0.000 (3.923)	Loss 0.6209 (0.8159)	Acc@1 75.000 (76.116)	Acc@5 98.438 (95.015)
Epoch: [4][40/150], lr: 0.00100	Time 23.305 (6.962)	Data 19.484 (3.187)	Loss 0.6014 (0.7689)	Acc@1 82.812 (77.820)	Acc@5 96.875 (95.312)
Epoch: [4][60/150], lr: 0.00100	Time 4.809 (6.387)	Data 0.000 (2.600)	Loss 0.8552 (0.7562)	Acc@1 75.000 (77.920)	Acc@5 96.875 (95.697)
Epoch: [4][80/150], lr: 0.00100	Time 16.452 (6.216)	Data 12.973 (2.440)	Loss 0.5997 (0.7442)	Acc@1 76.562 (78.453)	Acc@5 96.875 (95.930)
Epoch: [4][100/150], lr: 0.00100	Time 3.465 (6.050)	Data 0.001 (2.272)	Loss 0.4584 (0.7419)	Acc@1 84.375 (78.465)	Acc@5 100.000 (95.885)
Epoch: [4][120/150], lr: 0.00100	Time 30.761 (6.104)	Data 25.296 (2.320)	Loss 0.7614 (0.7289)	Acc@1 73.438 (78.487)	Acc@5 95.312 (96.049)
Epoch: [4][140/150], lr: 0.00100	Time 3.024 (6.045)	Data 0.000 (2.281)	Loss 0.6532 (0.7165)	Acc@1 79.688 (78.934)	Acc@5 98.438 (96.121)
Test: [0/60]	Time 50.688 (50.688)	Loss 1.0689 (1.0689)	Acc@1 71.875 (71.875)	Acc@5 95.312 (95.312)
Test: [20/60]	Time 1.087 (6.487)	Loss 3.1141 (1.2282)	Acc@1 46.875 (66.890)	Acc@5 67.188 (89.807)
Test: [40/60]	Time 35.588 (6.233)	Loss 0.9079 (1.0574)	Acc@1 82.812 (71.646)	Acc@5 89.062 (91.692)
 * Acc@1 70.711 Acc@5 91.330 Loss 1.09366
